text,label
<<<<<<< HEAD
"I am going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I am worthless and how I should not be here.",sadness
"I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?",sadness
"I am very happy that I am achieving my goals",happiness
"I have never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?",sadness
"I am feeling really sad that I am not meeting my expectations",sadness
"This is exciting and I can't wait to see what happens next",happiness
"I have low self esteem but I've been happily married for almost 35 years.",sadness
"I feel awful about the mistakes I made",sadness
"I am scared of what the future holds",fear
"got no one to talk to have no one around i ve been procrastinating on something for so long and i have no idea when i ll ever become serious or steadfast i just feel like a total waste i ve isolated myself which is making me go crazy right now no friend at all i m literally alone now feel like shit",sadness
"I bought the book "at last a life" a few weeks ago and it's completely changed my view of anxiety and how to live with it. I'm certainly not 100 yet but I'm a lot closer since reading.",happiness
"I love how our positive way is to laugh of ourselves and say fuck it. We accept our shit and life with that but it feels so good to be able to laugh and know that there is lots of people feeling the same.",happiness
"I am really, really struggling with the sudden change in what's right. My family always mocked me for my compulsions and now they're on at *me* to wash my hands more. My medication isn't giving me the buffer anymore.",sadness
"i was just unconciously procrastinating doing homework thank you",happiness
"i feel so worthless because of it. seriously, i feel like i cant handle shit",sadness
"I am facing severe depression and anxiety and I just feel like I am going through a lot. This really distracts me and I cannot get my mind off the things that are bothering me.",sadness
"I have a traumatic experience when I was a young kid which lead to my trauma of not wanting to be around people",sadness
"I am so angry at myself for not being more productive",anger
"I've had a nightmare of a week as well - dealing with this stress on top of my school digging in its heels about midterms operating as normal has been actual hell.",sadness
"I am feeling very anxious about the future",fear
"I am so grateful for the support of my friends during this tough time",happiness
"I am feeling very overwhelmed with everything going on in my life",sadness
"How can I get to a place where I can be content from day to day?",sadness
"I struggle with depression as well as pretty intense mood swings throughout the month.",sadness
"I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life. I have been diagnosed with bipolar disorder and I am on medication for it.",sadness
"I have been working on my mental health for a while now and I am starting to see some progress, but I still have a long way to go.",happiness
"I am feeling very anxious about the future",fear
"Hey man, I know this post is 12h old and so I doubt you'll see this, but I see you man. I spent my whole life struggling trying to figure out wtf was wrong with me. I pushed myself to emotional breaking points over and over and over again. I enlisted in the Navy with my girlfriend and we were married while in together, I did 7 years and the whole time I pushed myself at the absolute limit even when I didn't have to, constantly wondering what the hell is broken in me.",sadness
"I am so happy to have a supportive family",happiness
"Thank you for this, this is a reminder for me to my partner with ADHD. I do my best to remember and take things in a different perspective. Thank you.",happiness
"I am feeling very sad about the recent breakup",sadness
"I am so grateful for the little things in life",happiness
"I want to end my life.",sadness
